hostname;ip
pd77-sds-052;10.77.43.4
pd77-sds-051;10.77.43.3
pd77-sds-050;10.77.43.2
pd77-sds-049;10.77.43.1
pd77-sds-064;10.77.43.16
pd77-sds-063;10.77.43.15
pd77-sds-062;10.77.43.14
pd77-sds-061;10.77.43.13
pd77-sds-076;10.77.43.28
pd77-sds-075;10.77.43.27
pd77-sds-074;10.77.43.26
pd77-sds-073;10.77.43.25
pd77-sds-088;10.77.43.40
pd77-sds-087;10.77.43.39
pd77-sds-086;10.77.43.38
pd77-sds-085;10.77.43.37
pd77-srv-003;10.77.40.3
pd77-srv-002;10.77.40.2
pd77-srv-001;10.77.40.1
pd77-srv-015;10.77.40.15
pd77-srv-014;10.77.40.14
pd77-srv-013;10.77.40.13
pd77-srv-027;10.77.40.27
pd77-srv-026;10.77.40.26
pd77-srv-025;10.77.40.25
pd77-srv-039;10.77.40.39
pd77-srv-038;10.77.40.38
pd77-srv-037;10.77.40.37
pd77-sds-004;10.77.42.225
pd77-sds-003;10.77.42.224
pd77-sds-002;10.77.42.194
pd77-sds-001;10.77.42.193
pd77-sds-016;10.77.42.227
pd77-sds-015;10.77.42.226
pd77-sds-014;10.77.42.206
pd77-sds-013;10.77.42.205
pd77-sds-028;10.77.42.234
pd77-sds-027;10.77.42.228
pd77-sds-026;10.77.42.218
pd77-sds-025;10.77.42.217
pd77-sds-040;10.77.42.232
pd77-sds-039;10.77.42.231
pd77-sds-038;10.77.42.230
pd77-sds-037;10.77.42.229
pd77-lbsrv-001;10.77.41.134
pd77-nsrv-002;10.77.41.130
pd77-nsrv-001;10.77.41.129
pd77-tsus-004;10.77.42.65
pd77-msrv-033;10.77.41.102
pd77-dsrv-002;10.77.41.66
pd77-dsrv-001;10.77.41.65
pd77-msrv-008;10.77.41.77
pd77-msrv-005;10.77.41.74
pd77-msrv-004;10.77.41.73
pd77-msrv-002;10.77.41.71
pd77-msrv-001;10.77.41.70
pd77-msrv-034;10.77.41.103
pd77-msrv-031;10.77.41.100
pd77-msrv-030;10.77.41.99
pd77-msrv-027;10.77.43.134
pd77-msrv-023;10.77.43.130
pd77-msrv-022;10.77.43.129
pd77-msrv-020;10.77.41.89
pd77-msrv-019;10.77.41.88
pd77-msrv-018;10.77.41.87
pd77-msrv-015;10.77.41.84
pd77-msrv-014;10.77.41.83
pd77-msrv-012;10.77.41.81
pd77-msrv-010;10.77.41.79
pd77-bks-017;10.77.43.81
pd77-bks-016;10.77.43.80
pd77-bks-015;10.77.43.79
pd77-bks-014;10.77.43.78
pd77-bks-013;10.77.43.77
pd77-bks-028;10.77.43.92
pd77-bks-027;10.77.43.91
pd77-bks-026;10.77.43.90
pd77-bks-025;10.77.43.89
pd77-lbsrv-002;10.77.41.144
pd77-nsrv-014;10.77.41.142
pd77-nsrv-013;10.77.41.141
pd77-tsus-005;10.77.42.66
pd77-msrv-035;10.77.41.104
pd77-dsrv-005;10.77.41.69
pd77-dsrv-004;10.77.41.68
pd77-dsrv-003;10.77.41.67
pd77-msrv-009;10.77.41.78
pd77-msrv-007;10.77.41.76
pd77-msrv-006;10.77.41.75
pd77-msrv-003;10.77.41.72
pd77-msrv-036;10.77.41.105
pd77-msrv-032;10.77.41.101
pd77-msrv-029;10.77.41.98
pd77-msrv-028;10.77.41.97
pd77-msrv-026;10.77.43.133
pd77-msrv-025;10.77.43.132
pd77-msrv-024;10.77.43.131
pd77-msrv-021;10.77.41.90
pd77-msrv-017;10.77.41.86
pd77-msrv-016;10.77.41.85
pd77-msrv-013;10.77.41.82
pd77-msrv-011;10.77.41.80
pd77-sds-100;10.77.42.132
pd77-sds-099;10.77.42.131
pd77-sds-098;10.77.42.130
pd77-sds-097;10.77.42.129
pd77-sds-112;10.77.42.144
pd77-sds-111;10.77.42.143
pd77-sds-110;10.77.42.142
pd77-sds-109;10.77.42.141
pd77-sds-124;10.77.42.156
pd77-sds-123;10.77.42.155
pd77-sds-122;10.77.42.154
pd77-sds-121;10.77.42.153
pd77-sds-136;10.77.42.169
pd77-sds-135;10.77.42.168
pd77-sds-134;10.77.42.167
pd77-sds-133;10.77.42.166
pd77-srv-051;10.77.40.67
pd77-srv-050;10.77.40.66
pd77-srv-049;10.77.40.65
pd77-srv-063;10.77.40.79
pd77-srv-062;10.77.40.78
pd77-srv-061;10.77.40.77
pd77-srv-075;10.77.40.91
pd77-srv-074;10.77.40.90
pd77-srv-073;10.77.40.89
pd77-srv-087;10.77.40.103
pd77-srv-086;10.77.40.102
pd77-srv-085;10.77.40.101
